Rating ICE Cell Fission Comp Std Light XL XXL
10 1 1 5 1 0.5 0.5 0.5 0.5
15 1 1 5 1 0.5 0.5 0.5 0.5
20 1 1 5 1 0.5 0.5 0.5 0.5
25 1 1 5 1 0.5 0.5 0.5 0.5
30 2 1.5 5 1.5 1 1 0.5 0.5
35 2 1.5 5 1.5 1 1 0.5 0.5
40 2 1.5 5 1.5 1 1 0.5 0.5
45 2 1.5 5 1.5 1 1 0.5 0.5
50 3 2 5 2.5 1.5 1.5 1 0.5
55 3 2 5 2.5 1.5 1.5 1 0.5
60 3 2 5 2.5 1.5 1.5 1 0.5
65 4 2.5 5 3 2 1.5 1 0.5
70 4 2.5 5 3 2 1.5 1 0.5
75 4 2.5 5 3 2 1.5 1 0.5
80 5 3 5 4 2.5 2 1.5 1
85 5 3 5 4 2.5 2 1.5 1
90 6 4 5.5 4.5 3 2.5 1.5 1
95 6 4 5.5 4.5 3 2.5 1.5 1
100 6 4 5.5 4.5 3 2.5 1.5 1
105 7 4.5 6.5 5.5 3.5 3 2 1
110 7 4.5 6.5 5.5 3.5 3 2 1
115 8 5 7 6 4 3 2 1.5
120 8 5 7 6 4 3 2 1.5
125 8 5 7 6 4 3 2 1.5
130 9 5.5 8 7 4.5 3.5 2.5 1.5
135 9 5.5 8 7 4.5 3.5 2.5 1.5
140 10 6 9 7.5 5 4 2.5 1.5
145 10 6 9 7.5 5 4 2.5 1.5
150 11 7 10 8.5 5.5 4.5 3 2
155 11 7 10 8.5 5.5 4.5 3 2
160 12 7.5 10.5 9 6 4.5 3 2
165 12 7.5 10.5 9 6 4.5 3 2
170 12 7.5 10.5 9 6 4.5 3 2
175 14 8.5 12.5 10.5 7 5.5 3.5 2.5
180 14 8.5 12.5 10.5 7 5.5 3.5 2.5
185 15 9 13.5 11.5 7.5 6 4 2.5
190 15 9 13.5 11.5 7.5 6 4 2.5
195 16 10 14 12 8 6 4 2.5
200 17 10.5 15 13 8.5 6.5 4.5 3
205 17 10.5 15 13 8.5 6.5 4.5 3
210 18 11 16 13.5 9 7 4.5 3
215 19 11.5 17 14.5 9.5 7.5 5 3
220 20 12 17.5 15 10 7.5 5 3.5
225 20 12 17.5 15 10 7.5 5 3.5
230 21 13 18.5 16 10.5 8 5.5 3.5
235 22 13.5 19.5 16.5 11 8.5 5.5 3.5
240 23 14 20.5 17.5 11.5 9 6 4
245 24 14.5 21 18 12 9 6 4
250 25 15 22 19 12.5 9.5 6.5 4
255 26 16 23 19.5 13 10 6.5 4.5
260 27 16.5 24 20.5 13.5 10.5 7 4.5
265 28 17 24.5 21 14 10.5 7 4.5
270 29 17.5 25.5 22 14.5 11 7.5 5
275 31 19 27.5 23.5 15.5 12 8 5
280 32 19.5 28 24 16 12 8 5.5
285 33 20 29 25 16.5 12.5 8.5 5.5
290 35 21 31 26.5 17.5 13.5 9 6
295 36 22 31.5 27 18 13.5 9 6
300 38 23 33.5 28.5 19 14.5 9.5 6.5
305 39 23.5 34.5 29.5 19.5 15 10 6.5
310 41 25 36 31 20.5 15.5 10.5 7
315 43 26 38 32.5 21.5 16.5 11 7
320 45 27 39.5 34 22.5 17 11.5 7.5
325 47 28.5 41.5 35.5 23.5 18 12 8
330 49 29.5 43 37 24.5 18.5 12.5 8
335 51 31 45 38.5 25.5 19.5 13 8.5
340 54 32.5 47.5 40.5 27 20.5 13.5 9
345 57 34.5 50 43 28.5 21.5 14.5 9.5
350 59 35.5 52 44.5 29.5 22.5 15 10
355 63 38 55.5 47.5 31.5 24 16 10.5
360 66 40 58 49.5 33 25 16.5 11
365 69 41.5 60.5 52 34.5 26 17.5 11.5
370 73 44 64 55 36.5 27.5 18.5 12
375 77 46.5 67.5 58 38.5 29 19.5 13
380 82 49.5 72 61.5 41 31 20.5 13.5
385 87 52.5 76.5 65.5 43.5 33 22 14.5
390 92 55.5 80.5 69 46 34.5 23 15.5
395 98 59 86 73.5 49 37 24.5 16.5
400 105 63 92 79 52.5 39.5 26.5 17.5
